category,item,approved_budget,spent,committed,status
HVAC,Chiller overhaul,50000,42000,5000,open
HVAC,AHU controls upgrade,18000,12000,4000,open
HVAC,Duct insulation repairs,9000,7000,1500,open
HVAC,FCU cabin balancing,6000,3000,1000,open
AVIT,Network rack refresh,25000,26000,0,open
AVIT,Bridge switch replacement,12000,8000,2500,open
AVIT,CCTV storage upgrade,9000,2000,5000,open
Engineering,Bow thruster cooling mod,40000,30000,6000,open
Engineering,Separator overhaul,12000,9000,0,closed
Engineering,ME cooling valve renewal,14000,6000,5000,open
Engineering,Hydraulic hose replacement,8000,8500,0,open
Electrical,UPS replacement,22000,10000,8000,open
Electrical,MSB thermography and repairs,11000,4000,4500,open
Electrical,Lighting control upgrades,16000,7000,3000,open
Interior,Laundry equipment replacement,15000,7000,3000,open
Interior,Guest area blind motors,10000,9500,1000,open
Interior,Pantry refrigeration renewal,18000,12000,4000,open
Deck,Passerelle service,14000,9000,2500,open
Deck,Windlass brake overhaul,13000,5000,6000,open
Deck,Teak repairs localised,20000,17000,2500,open
Safety,Fire damper servicing,9000,3000,4000,open
Safety,Emergency lighting test and replacements,7000,2500,3000,open
Safety,LSA consumables renewal,11000,10000,500,open
Hull,Shell door seal renewal,17000,12000,3000,open
Hull,Paint touch-up allowance,15000,4000,8000,open
Owner,Owner supply integration allowance,30000,5000,22000,open
Project,Temporary services and access,25000,21000,5000,open
Project,Yard attendance support,18000,12000,4000,open
Project,Contingency allowance,50000,5000,10000,open
